GEO.id,GEO.id2,GEO.display-label,rescen42010,respop72018,,,,HC01_VC03,HC02_VC03,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC50,HC02_VC50,HC01_VC64,HC02_VC64,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC84,HC02_VC84,HC03_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC120,HC02_VC120,HC03_VC120,HC04_VC120,HC01_VC121,HC02_VC121,HC03_VC121,HC04_VC121,HC01_VC122,HC02_VC122,HC03_VC122,HC04_VC122,HC01_VC123,HC02_VC123,HC03_VC123,HC04_VC123,HC01_VC124,HC02_VC124,HC03_VC124,HC04_VC124,HC01_VC125,HC02_VC125,HC03_VC125,HC04_VC125,HC01_VC126,HC02_VC126,HC03_VC126,HC04_VC126,HC01_VC127,HC02_VC127,HC03_VC127,HC04_VC127,HC01_VC128,HC02_VC128
Id,Id2,Geography,Population 2010 - Census,Population Estimate (as of July 1) - 2018,EV registration Oct 2018,average range EV,,Estimate; HOUSING OCCUPANCY - Total housing units,Margin of Error; HOUSING OCCUPANCY - Total housing units,Estimate; UNITS IN STRUCTURE - Total housing units,Margin of Error; UNITS IN STRUCTURE - Total housing units,"Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Percent; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Percent; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, attached",Estimate; UNITS IN STRUCTURE - Total housing units - 2 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 2 units,Percent; UNITS IN STRUCTURE - Total housing units - 2 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 2 units,Estimate; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Percent; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Estimate; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Percent; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Estimate; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Percent; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Estimate; UNITS IN STRUCTURE - Total housing units - 20 or more units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 20 or more units,Percent; UNITS IN STRUCTURE - Total housing units - 20 or more units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 20 or more units,Estimate; ROOMS - Total housing units - Median rooms,Margin of Error; ROOMS - Total housing units - Median rooms,Estimate; HOUSING TENURE - Occupied housing units,Margin of Error; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Margin of Error; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Margin of Error; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; VEHICLES AVAILABLE - Occupied housing units,Margin of Error; VEHICLES AVAILABLE - Occupied housing units,Percent; VEHICLES AVAILABLE - Occupied housing units,Estimate; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Margin of Error; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Percent; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Percent Margin of Error; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,"Estimate; VALUE - Owner-occupied units - Less than $50,000","Margin of Error; VALUE - Owner-occupied units - Less than $50,000","Percent; VALUE - Owner-occupied units - Less than $50,000","Percent Margin of Error; VALUE - Owner-occupied units - Less than $50,000","Estimate; VALUE - Owner-occupied units - $50,000 to $99,999","Margin of Error; VALUE - Owner-occupied units - $50,000 to $99,999","Percent; VALUE - Owner-occupied units - $50,000 to $99,999","Percent Margin of Error; VALUE - Owner-occupied units - $50,000 to $99,999","Estimate; VALUE - Owner-occupied units - $100,000 to $149,999","Margin of Error; VALUE - Owner-occupied units - $100,000 to $149,999","Percent; VALUE - Owner-occupied units - $100,000 to $149,999","Percent Margin of Error; VALUE - Owner-occupied units - $100,000 to $149,999","Estimate; VALUE - Owner-occupied units - $150,000 to $199,999","Margin of Error; VALUE - Owner-occupied units - $150,000 to $199,999","Percent; VALUE - Owner-occupied units - $150,000 to $199,999","Percent Margin of Error; VALUE - Owner-occupied units - $150,000 to $199,999","Estimate; VALUE - Owner-occupied units - $200,000 to $299,999","Margin of Error; VALUE - Owner-occupied units - $200,000 to $299,999","Percent; VALUE - Owner-occupied units - $200,000 to $299,999","Percent Margin of Error; VALUE - Owner-occupied units - $200,000 to $299,999","Estimate; VALUE - Owner-occupied units - $300,000 to $499,999","Margin of Error; VALUE - Owner-occupied units - $300,000 to $499,999","Percent; VALUE - Owner-occupied units - $300,000 to $499,999","Percent Margin of Error; VALUE - Owner-occupied units - $300,000 to $499,999","Estimate; VALUE - Owner-occupied units - $500,000 to $999,999","Margin of Error; VALUE - Owner-occupied units - $500,000 to $999,999","Percent; VALUE - Owner-occupied units - $500,000 to $999,999","Percent Margin of Error; VALUE - Owner-occupied units - $500,000 to $999,999","Estimate; VALUE - Owner-occupied units - $1,000,000 or more","Margin of Error; VALUE - Owner-occupied units - $1,000,000 or more","Percent; VALUE - Owner-occupied units - $1,000,000 or more","Percent Margin of Error; VALUE - Owner-occupied units - $1,000,000 or more",Estimate; VALUE - Owner-occupied units - Median (dollars),Margin of Error; VALUE - Owner-occupied units - Median (dollars)
0400000US06,6,California,37253956,39557045,,,,13996299,1107,13996299,1107,8131716,10887,58.1,0.1,978110,5752,7,0.1,343548,4512,2.5,0.1,775541,5611,5.5,0.1,857711,6971,6.1,0.1,728840,6078,5.2,0.1,1647167,6740,11.8,0.1,5.1,0.1,12888128,18518,3,0.01,2.91,0.01,12888128,18518,12888128,955453,5872,7.4,0.1,271958,3704,3.9,0.1,209552,2911,3,0.1,271375,3494,3.9,0.1,388112,4664,5.5,0.1,925784,7641,13.2,0.1,1958648,12494,27.9,0.1,2183572,12640,31.1,0.1,815314,4720,11.6,0.1,443400,736
0500000US06001,6001,"Alameda County, California",1510271,1666753,18933,,,596898,465,596898,465,315916,2001,52.9,0.3,49541,1112,8.3,0.2,22814,1001,3.8,0.2,40766,1272,6.8,0.2,33563,1082,5.6,0.2,30400,891,5.1,0.1,96006,1615,16.1,0.3,4.9,0.1,569070,1516,2.93,0.01,2.66,0.02,569070,1516,569070,55649,1359,9.8,0.2,5896,490,2,0.2,4126,378,1.4,0.1,3743,334,1.2,0.1,4473,462,1.5,0.2,14929,734,4.9,0.2,62755,1259,20.8,0.4,155315,2260,51.5,0.5,50430,1014,16.7,0.3,649100,3303
0500000US06003,6003,"Alpine County, California",1175,1101,1,,,1742,39,1742,39,1116,75,64.1,3.8,100,44,5.7,2.5,11,12,0.6,0.7,9,13,0.5,0.8,85,39,4.9,2.3,126,39,7.2,2.2,282,64,16.2,3.8,4.7,0.3,304,57,3.95,0.91,3.27,1.78,304,57,304,16,13,5.3,4.1,9,8,3.6,3.2,5,8,2,3.1,11,9,4.3,3.3,14,11,5.5,4.2,59,30,23.3,10.6,86,36,34,11.5,58,27,22.9,9.8,11,11,4.3,4.1,343800,37678
0500000US06005,6005,"Amador County, California",38091,39383,57,,,18259,117,18259,117,15294,266,83.8,1.5,479,148,2.6,0.8,136,91,0.7,0.5,327,121,1.8,0.7,282,128,1.5,0.7,149,89,0.8,0.5,340,117,1.9,0.6,5.5,0.1,14185,362,2.33,0.08,2.49,0.18,14185,362,14185,587,130,4.1,0.9,630,146,5.8,1.4,522,147,4.8,1.3,738,181,6.8,1.6,917,199,8.4,1.8,3385,350,31,2.9,3453,312,31.6,2.7,1127,205,10.3,1.8,149,79,1.4,0.7,278600,7641
0500000US06007,6007,"Butte County, California",220000,231256,290,,,98119,256,98119,256,61600,979,62.8,0.9,3408,388,3.5,0.4,2221,332,2.3,0.3,6411,622,6.5,0.6,3975,438,4.1,0.4,2959,358,3,0.4,4783,473,4.9,0.5,5.1,0.1,86167,856,2.49,0.04,2.63,0.06,86167,856,86167,5947,478,6.9,0.5,4544,373,8.9,0.7,3496,339,6.9,0.6,4766,382,9.4,0.7,7117,533,14,1,13175,666,25.9,1.3,13108,619,25.8,1,4079,334,8,0.7,559,130,1.1,0.3,238200,3917
0500000US06009,6009,"Calaveras County, California",45578,45602,89,,,28169,84,28169,84,24297,457,86.3,1.6,419,159,1.5,0.6,302,134,1.1,0.5,343,150,1.2,0.5,168,117,0.6,0.4,84,93,0.3,0.3,277,107,1,0.4,5.3,0.1,17812,489,2.45,0.08,2.7,0.2,17812,489,17812,602,150,3.4,0.9,848,197,6.1,1.4,570,161,4.1,1.1,1262,277,9.1,1.9,1542,282,11.1,2,3600,443,25.8,3,4328,398,31.1,2.8,1502,230,10.8,1.6,279,113,2,0.8,273400,12074
0500000US06011,6011,"Colusa County, California",21419,21627,23,,,7990,39,7990,39,6251,205,78.2,2.5,363,128,4.5,1.6,99,52,1.2,0.7,224,94,2.8,1.2,250,92,3.1,1.2,89,58,1.1,0.7,139,62,1.7,0.8,5.4,0.1,7047,174,2.85,0.1,3.32,0.22,7047,174,7047,303,80,4.3,1.1,206,64,4.6,1.4,304,110,6.7,2.4,675,156,14.9,3.2,782,139,17.3,3,1215,185,26.9,4.1,980,156,21.7,3.1,255,64,5.6,1.4,104,62,2.3,1.4,223600,12311
0500000US06013,6013,"Contra Costa County, California",1049025,1150215,8932,,,409117,267,409117,267,274008,1505,67,0.4,31035,1153,7.6,0.3,7612,632,1.9,0.2,20205,1095,4.9,0.3,18164,1074,4.4,0.3,15275,816,3.7,0.2,35462,1278,8.7,0.3,5.7,0.1,389597,1368,2.86,0.02,2.86,0.03,389597,1368,389597,21869,934,5.6,0.2,6853,496,2.7,0.2,3733,418,1.5,0.2,4820,476,1.9,0.2,7904,508,3.1,0.2,25448,1216,10,0.5,73828,1488,28.9,0.5,91764,1560,36,0.5,40851,926,16,0.4,522300,5400
0500000US06015,6015,"Del Norte County, California",28610,27828,26,,,11364,111,11364,111,7229,326,63.6,2.8,366,133,3.2,1.2,436,130,3.8,1.1,512,165,4.5,1.4,183,81,1.6,0.7,86,53,0.8,0.5,227,81,2,0.7,5,0.1,9683,318,2.49,0.11,2.52,0.16,9683,318,9683,937,219,9.7,2.2,1079,213,18,3.4,515,161,8.6,2.7,723,194,12.1,3.1,939,177,15.7,2.9,1318,219,22,3.4,992,198,16.5,3.1,360,134,6,2.2,70,38,1.2,0.6,185900,13895
0500000US06017,6017,"El Dorado County, California",181058,190678,800,,,89286,110,89286,110,71970,807,80.6,0.9,1838,276,2.1,0.3,1662,265,1.9,0.3,2769,354,3.1,0.4,2189,318,2.5,0.4,1493,295,1.7,0.3,2541,345,2.8,0.4,5.6,0.2,68084,749,2.69,0.04,2.68,0.08,68084,749,68084,3205,407,4.7,0.6,2111,304,4.1,0.6,1011,241,1.9,0.5,1211,237,2.3,0.5,2314,322,4.5,0.6,8097,535,15.6,1,19594,678,37.7,1.2,16031,643,30.9,1.1,1579,244,3,0.5,405900,6705
0500000US06019,6019,"Fresno County, California",930450,994400,2732,,,326213,319,326213,319,220865,1391,67.7,0.4,7695,517,2.4,0.2,9997,733,3.1,0.2,27541,1172,8.4,0.4,23539,1058,7.2,0.3,9032,570,2.8,0.2,14772,704,4.5,0.2,5.2,0.1,301824,1180,3.12,0.02,3.22,0.02,301824,1180,301824,26215,1009,8.7,0.3,8646,540,5.4,0.3,12315,633,7.7,0.4,20981,995,13.1,0.6,28257,1194,17.7,0.7,44549,1383,27.8,0.7,32887,1058,20.6,0.6,10348,532,6.5,0.3,2018,242,1.3,0.2,220600,2197
0500000US06021,6021,"Glenn County, California",28122,28047,18,,,10962,68,10962,68,8030,325,73.3,3,247,102,2.3,0.9,258,97,2.4,0.9,515,219,4.7,2,397,139,3.6,1.3,164,112,1.5,1,210,117,1.9,1.1,5.2,0.1,9936,238,2.83,0.14,2.71,0.16,9936,238,9936,636,187,6.4,1.9,400,97,7,1.7,388,100,6.8,1.8,625,174,10.9,3,1216,254,21.2,4.1,1476,244,25.8,3.7,1125,225,19.7,3.7,401,96,7,1.7,93,37,1.6,0.6,214600,13256
0500000US06023,6023,"Humboldt County, California",134623,136373,371,,,62583,254,62583,254,42974,805,68.7,1.2,2386,335,3.8,0.5,2403,357,3.8,0.6,4510,520,7.2,0.8,2539,379,4.1,0.6,999,217,1.6,0.3,1430,237,2.3,0.4,4.9,0.2,53966,755,2.46,0.05,2.4,0.07,53966,755,53966,3960,513,7.3,0.9,2074,278,6.8,0.9,1147,172,3.8,0.6,1190,233,3.9,0.7,2616,361,8.6,1.1,9693,591,31.8,1.8,9700,593,31.8,1.8,3581,285,11.7,1,499,139,1.6,0.5,285800,4628
0500000US06025,6025,"Imperial County, California",174528,181827,126,,,57198,148,57198,148,36797,745,64.3,1.3,1711,260,3,0.5,1342,276,2.3,0.5,3604,493,6.3,0.9,4236,512,7.4,0.9,1608,327,2.8,0.6,1903,290,3.3,0.5,5.1,0.2,45198,731,3.76,0.09,3.78,0.11,45198,731,45198,3356,394,7.4,0.8,2476,319,9.7,1.2,2577,332,10.1,1.3,5078,484,19.9,1.8,6065,533,23.8,1.9,6363,482,24.9,1.8,2358,323,9.2,1.2,518,158,2,0.6,72,46,0.3,0.2,167700,3108
0500000US06027,6027,"Inyo County, California",18546,17987,41,,,9526,56,9526,56,5954,262,62.5,2.7,291,132,3.1,1.4,174,69,1.8,0.7,278,91,2.9,1,104,83,1.1,0.9,131,67,1.4,0.7,201,92,2.1,1,4.9,0.2,8026,218,2.34,0.09,1.94,0.12,8026,218,8026,683,155,8.5,1.9,1130,144,22.1,2.6,444,98,8.7,1.8,233,68,4.6,1.3,427,103,8.4,2,954,153,18.7,3,1441,146,28.2,2.7,436,81,8.5,1.6,44,26,0.9,0.5,243100,20361
0500000US06029,6029,"Kern County, California",839631,896764,1066,,,293548,328,293548,328,209163,1582,71.3,0.5,7065,585,2.4,0.2,10311,697,3.5,0.2,18676,907,6.4,0.3,12113,891,4.1,0.3,5237,616,1.8,0.2,8822,588,3,0.2,5.1,0.2,264993,1465,3.14,0.03,3.28,0.04,264993,1465,264993,18703,1020,7.1,0.4,9862,648,6.5,0.4,17490,829,11.5,0.5,23539,1041,15.5,0.6,29301,975,19.3,0.6,41071,1253,27.1,0.8,23623,937,15.6,0.6,5426,487,3.6,0.3,1252,217,0.8,0.1,190600,2222
0500000US06031,6031,"Kings County, California",152982,151366,179,,,45364,222,45364,222,31894,721,70.3,1.6,1903,272,4.2,0.6,1497,338,3.3,0.7,3050,424,6.7,0.9,2352,391,5.2,0.9,1019,277,2.2,0.6,1670,267,3.7,0.6,5.2,0.1,42349,476,3.17,0.07,3.19,0.08,42349,476,42349,2899,309,6.8,0.7,1194,281,5.4,1.3,2168,341,9.9,1.5,3911,327,17.8,1.5,4968,453,22.7,2,6324,532,28.8,2,2513,320,11.5,1.4,680,145,3.1,0.7,167,67,0.8,0.3,185600,5792
0500000US06033,6033,"Lake County, California",64665,64382,107,,,35747,83,35747,83,24394,672,68.2,1.8,397,154,1.1,0.4,666,233,1.9,0.7,703,212,2,0.6,598,187,1.7,0.5,264,133,0.7,0.4,465,105,1.3,0.3,5,0.1,26327,607,2.3,0.07,2.59,0.12,26327,607,26327,1914,312,7.3,1.2,2288,338,13.2,1.9,2105,290,12.1,1.6,2542,308,14.6,1.7,2562,330,14.8,1.9,3726,357,21.5,1.9,2667,351,15.4,1.9,1284,264,7.4,1.5,188,96,1.1,0.5,182000,7135
0500000US06035,6035,"Lassen County, California",34895,30802,9,,,12749,183,12749,183,9842,300,77.2,2.1,123,44,1,0.3,335,102,2.6,0.8,160,66,1.3,0.5,214,77,1.7,0.6,141,66,1.1,0.5,294,86,2.3,0.7,5.2,0.1,9441,341,2.27,0.09,2.3,0.15,9441,341,9441,553,118,5.9,1.2,706,137,11.3,2.1,691,160,11.1,2.5,963,208,15.5,3.1,1142,173,18.3,2.6,1511,179,24.3,2.9,897,137,14.4,2.3,203,69,3.3,1.1,117,66,1.9,1.1,177500,11132
0500000US06037,6037,"Los Angeles County, California",9818605,10105518,52112,,,3506903,1020,3506903,1020,1729296,4988,49.3,0.1,227942,2531,6.5,0.1,89639,2120,2.6,0.1,198103,2694,5.6,0.1,272661,3197,7.8,0.1,269963,3016,7.7,0.1,662186,4217,18.9,0.1,4.6,0.1,3295198,5018,3.19,0.01,2.86,0.01,3295198,5018,3295198,303299,2519,9.2,0.1,42490,1068,2.8,0.1,22237,731,1.5,0.1,22659,1030,1.5,0.1,34359,1150,2.3,0.1,138831,2319,9.2,0.1,506181,4706,33.5,0.2,545940,4940,36.1,0.2,199667,2404,13.2,0.2,495800,1386
0500000US06039,6039,"Madera County, California",150865,157672,208,,,50090,125,50090,125,40003,649,79.9,1.3,939,295,1.9,0.6,911,245,1.8,0.5,2393,389,4.8,0.8,1151,248,2.3,0.5,519,196,1,0.4,859,229,1.7,0.5,5.4,0.2,44458,588,3.11,0.06,3.59,0.11,44458,588,44458,2774,474,6.2,1,1216,210,4.4,0.7,2373,349,8.6,1.2,3785,428,13.7,1.6,4454,475,16.1,1.6,8228,655,29.7,2.2,5624,507,20.3,1.7,1502,280,5.4,1,519,141,1.9,0.5,220400,5593
0500000US06041,6041,"Marin County, California",252409,259666,3830,,,112606,192,112606,192,71199,844,63.2,0.7,9753,559,8.7,0.5,3665,382,3.3,0.3,4637,547,4.1,0.5,6285,553,5.6,0.5,5416,491,4.8,0.4,9893,627,8.8,0.6,5.5,0.2,104846,794,2.43,0.03,2.38,0.04,104846,794,104846,5171,492,4.9,0.5,1282,218,1.9,0.3,666,164,1,0.2,496,144,0.7,0.2,448,122,0.7,0.2,1617,265,2.4,0.4,5832,465,8.7,0.7,29282,841,43.5,1,27673,744,41.1,0.9,908800,8635
