GEO.id,GEO.id2,GEO.display-label,rescen42010,respop72018,,,,HC01_VC03,HC02_VC03,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC50,HC02_VC50,HC01_VC64,HC02_VC64,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC84,HC02_VC84,HC03_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC120,HC02_VC120,HC03_VC120,HC04_VC120,HC01_VC121,HC02_VC121,HC03_VC121,HC04_VC121,HC01_VC122,HC02_VC122,HC03_VC122,HC04_VC122,HC01_VC123,HC02_VC123,HC03_VC123,HC04_VC123,HC01_VC124,HC02_VC124,HC03_VC124,HC04_VC124,HC01_VC125,HC02_VC125,HC03_VC125,HC04_VC125,HC01_VC126,HC02_VC126,HC03_VC126,HC04_VC126,HC01_VC127,HC02_VC127,HC03_VC127,HC04_VC127,HC01_VC128,HC02_VC128
0500000US06043,6043,"Mariposa County, California",18251,17471,26,,,10378,147,10378,147,7570,307,72.9,2.7,90,60,0.9,0.6,228,107,2.2,1,176,99,1.7,1,117,61,1.1,0.6,40,37,0.4,0.4,106,65,1,0.6,5.1,0.2,7434,366,2.22,0.12,2.26,0.21,7434,366,7434,239,94,3.2,1.3,209,74,4,1.4,332,89,6.3,1.7,526,133,10,2.5,592,149,11.3,2.7,1515,202,28.8,3.8,1330,209,25.3,3.6,557,142,10.6,2.7,198,87,3.8,1.7,259500,14977
0500000US06045,6045,"Mendocino County, California",87841,87606,270,,,40851,133,40851,133,29902,604,73.2,1.5,1222,275,3,0.7,1036,245,2.5,0.6,1288,288,3.2,0.7,1356,268,3.3,0.7,723,193,1.8,0.5,922,217,2.3,0.5,4.7,0.1,34182,589,2.44,0.07,2.58,0.08,34182,589,34182,2338,344,6.8,1,1573,318,7.8,1.5,1111,195,5.5,0.9,796,180,3.9,0.9,1076,204,5.3,1,3910,358,19.3,1.8,6973,470,34.5,2.2,3883,408,19.2,1.9,908,181,4.5,0.9,338000,8944
0500000US06047,6047,"Merced County, California",255793,274765,261,,,84488,183,84488,183,64055,791,75.8,0.9,1753,277,2.1,0.3,2597,357,3.1,0.4,3860,437,4.6,0.5,3593,410,4.3,0.5,1218,216,1.4,0.3,2021,215,2.4,0.3,5.4,0.1,79261,562,3.16,0.05,3.45,0.06,79261,562,79261,5617,488,7.1,0.6,2581,249,6.3,0.6,3683,390,8.9,0.9,6370,527,15.5,1.3,8442,607,20.5,1.4,9664,681,23.5,1.5,7396,535,17.9,1.3,2312,312,5.6,0.7,758,213,1.8,0.5,196200,5679
0500000US06049,6049,"Modoc County, California",9686,8777,5,,,5250,58,5250,58,4349,193,82.8,3.6,53,48,1,0.9,38,26,0.7,0.5,65,51,1.2,1,85,87,1.6,1.6,29,35,0.6,0.7,48,50,0.9,1,5,0.2,3638,220,2.35,0.16,2.3,0.3,3638,220,3638,146,74,4,2,353,115,13.3,4.2,614,146,23.1,5.2,391,106,14.7,3.8,494,125,18.6,4.6,277,100,10.4,3.7,328,106,12.4,3.8,100,48,3.8,1.8,98,53,3.7,2,143100,29558
0500000US06051,6051,"Mono County, California",14202,14250,19,,,14041,34,14041,34,5898,426,42,3,2123,305,15.1,2.2,291,161,2.1,1.1,1492,274,10.6,2,1550,328,11,2.3,1075,243,7.7,1.7,890,183,6.3,1.3,4.6,0.2,4899,445,2.6,0.29,3.06,0.43,4899,445,4899,188,113,3.8,2.2,86,67,3.1,2.4,179,153,6.5,5.3,128,91,4.7,3.3,346,102,12.6,3.6,584,165,21.2,6.2,805,220,29.3,6.5,608,194,22.1,6.4,14,16,0.5,0.6,311700,38126
0500000US06053,6053,"Monterey County, California",415057,435594,1106,,,140548,303,140548,303,88131,961,62.7,0.7,8985,652,6.4,0.5,4099,448,2.9,0.3,8239,620,5.9,0.4,10206,632,7.3,0.5,6870,445,4.9,0.3,7484,479,5.3,0.3,5,0.1,125939,761,3.13,0.04,3.47,0.04,125939,761,125939,5906,464,4.7,0.4,2883,277,4.5,0.4,1173,179,1.8,0.3,1463,256,2.3,0.4,2246,282,3.5,0.4,8828,624,13.8,0.9,20733,655,32.5,0.9,18702,736,29.3,1,7845,396,12.3,0.6,441000,6591
0500000US06055,6055,"Napa County, California",136484,139417,822,,,55456,208,55456,208,38486,579,69.4,1,3309,313,6,0.6,1501,227,2.7,0.4,2173,287,3.9,0.5,1904,314,3.4,0.6,1171,211,2.1,0.4,3314,344,6,0.6,5.4,0.1,49044,524,2.71,0.04,2.93,0.07,49044,524,49044,2508,304,5.1,0.6,1126,180,3.6,0.6,1124,182,3.6,0.6,596,121,1.9,0.4,577,107,1.9,0.3,1823,213,5.9,0.7,7940,388,25.7,1.1,13199,512,42.6,1.4,4569,316,14.8,1,560500,8513
0500000US06057,6057,"Nevada County, California",98764,99696,318,,,53393,110,53393,110,43934,545,82.3,1,1124,233,2.1,0.4,747,231,1.4,0.4,1471,309,2.8,0.6,846,209,1.6,0.4,501,160,0.9,0.3,1519,268,2.8,0.5,5.5,0.1,40386,668,2.42,0.05,2.42,0.12,40386,668,40386,1700,314,4.2,0.8,1713,290,5.7,0.9,571,139,1.9,0.5,577,142,1.9,0.5,1180,255,3.9,0.8,5654,487,18.9,1.5,11927,619,39.8,2,7338,465,24.5,1.5,1015,208,3.4,0.7,379800,6995
0500000US06059,6059,"Orange County, California",3010232,3185968,25798,,,1081701,593,1081701,593,550268,2340,50.9,0.2,129514,1962,12,0.2,18409,1058,1.7,0.1,76765,1989,7.1,0.2,73557,1970,6.8,0.2,59544,1741,5.5,0.2,143150,2375,13.2,0.2,5.2,0.1,1024976,2063,3,0.01,3.09,0.02,1024976,2063,1024976,46640,1508,4.6,0.1,15978,773,2.7,0.1,11050,625,1.9,0.1,6254,476,1.1,0.1,8555,652,1.5,0.1,25569,1037,4.3,0.2,128985,2225,21.9,0.3,309467,2760,52.6,0.4,82693,1513,14.1,0.3,620500,2291
0500000US06061,6061,"Placer County, California",348432,393149,2297,,,159667,215,159667,215,123961,883,77.6,0.5,5255,411,3.3,0.3,1649,270,1,0.2,6306,445,3.9,0.3,6932,545,4.3,0.3,3882,368,2.4,0.2,7161,544,4.5,0.3,5.8,0.2,138564,758,2.73,0.02,2.56,0.05,138564,758,138564,5352,496,3.9,0.4,3069,307,3.1,0.3,1353,236,1.4,0.2,1576,273,1.6,0.3,2975,361,3,0.4,13158,614,13.4,0.6,44420,1080,45.3,1,27866,983,28.4,1,3736,363,3.8,0.4,413300,4354
0500000US06063,6063,"Plumas County, California",20007,18804,18,,,15740,49,15740,49,12806,292,81.4,1.8,400,106,2.5,0.7,220,90,1.4,0.6,209,119,1.3,0.8,125,73,0.8,0.5,58,45,0.4,0.3,176,67,1.1,0.4,5.3,0.2,8287,349,2.14,0.1,2.39,0.21,8287,349,8287,627,174,7.6,2.1,276,97,4.6,1.5,536,151,8.9,2.4,587,150,9.8,2.5,1019,217,16.9,3.4,1771,261,29.4,3.9,1304,208,21.7,3.3,436,101,7.2,1.6,87,41,1.4,0.7,228900,10663
0500000US06065,6065,"Riverside County, California",2189641,2450758,5503,,,826704,635,826704,635,562362,2529,68,0.3,47640,1160,5.8,0.1,11903,779,1.4,0.1,29088,1181,3.5,0.1,35267,1372,4.3,0.2,28246,1301,3.4,0.2,36677,1116,4.4,0.1,5.4,0.1,711724,2199,3.23,0.02,3.32,0.03,711724,2199,711724,32830,1213,4.6,0.2,29997,1043,6.5,0.2,18640,800,4,0.2,26888,1078,5.8,0.2,42275,1365,9.1,0.3,108821,1976,23.5,0.4,168756,2435,36.5,0.4,58321,1499,12.6,0.3,9090,559,2,0.1,304500,1948
0500000US06067,6067,"Sacramento County, California",1418788,1540975,4814,,,564349,574,564349,574,367032,1987,65,0.3,35514,1130,6.3,0.2,9018,689,1.6,0.1,28770,1074,5.1,0.2,35966,1421,6.4,0.3,28696,1167,5.1,0.2,45447,1467,8.1,0.3,5.3,0.1,532050,1445,2.81,0.01,2.71,0.02,532050,1445,532050,38606,1454,7.3,0.3,12864,555,4.4,0.2,8330,537,2.8,0.2,16377,771,5.5,0.2,31305,1199,10.6,0.4,78804,1565,26.7,0.5,104913,1668,35.5,0.5,38573,1019,13.1,0.3,4110,332,1.4,0.1,299900,1958
0500000US06069,6069,"San Benito County, California",55269,61537,133,,,18328,59,18328,59,14231,300,77.6,1.6,890,150,4.9,0.8,290,97,1.6,0.5,1018,190,5.6,1,356,106,1.9,0.6,190,79,1,0.4,418,123,2.3,0.7,5.8,0.1,17440,175,3.26,0.07,3.5,0.12,17440,175,17440,465,142,2.7,0.8,338,101,3,0.9,125,60,1.1,0.5,136,60,1.2,0.5,255,104,2.3,0.9,954,197,8.6,1.7,4926,339,44.4,2.6,3965,271,35.7,2.5,404,91,3.6,0.8,459700,8439
0500000US06071,6071,"San Bernardino County, California",2035210,2171603,3886,,,711900,791,711900,791,505060,2088,70.9,0.3,26986,931,3.8,0.1,12281,843,1.7,0.1,32934,1414,4.6,0.2,31093,1354,4.4,0.2,23495,984,3.3,0.1,39539,1498,5.6,0.2,5.3,0.2,623642,2348,3.32,0.02,3.3,0.02,623642,2348,623642,33325,1324,5.3,0.2,23513,1007,6.4,0.3,19748,815,5.3,0.2,28885,1064,7.8,0.3,41250,1417,11.2,0.4,88387,1896,23.9,0.5,116735,2036,31.6,0.4,46259,1272,12.5,0.3,4552,394,1.2,0.1,280200,1917
0500000US06073,6073,"San Diego County, California",3095313,3343364,19292,,,1195868,799,1195868,799,613113,2760,51.3,0.2,112939,2081,9.4,0.2,22351,1162,1.9,0.1,59611,1943,5,0.2,95582,1825,8,0.2,78082,2311,6.5,0.2,170157,2559,14.2,0.2,5,0.1,1111739,2983,2.89,0.01,2.85,0.02,1111739,2983,1111739,62542,1604,5.6,0.1,20625,738,3.5,0.1,11822,709,2,0.1,10040,739,1.7,0.1,12882,653,2.2,0.1,50206,1592,8.5,0.3,205414,2210,34.9,0.3,222883,2713,37.8,0.4,55272,1245,9.4,0.2,484900,2026
0500000US06075,6075,"San Francisco County, California",805235,883305,6653,,,390376,466,390376,466,77943,1268,20,0.3,46122,1349,11.8,0.3,38562,1452,9.9,0.4,44707,1263,11.5,0.3,39908,1256,10.2,0.3,38486,1256,9.9,0.3,103846,1339,26.6,0.3,4.1,0.1,358772,1742,2.74,0.02,2.12,0.02,358772,1742,358772,109259,1694,30.5,0.5,2088,346,1.6,0.3,823,181,0.6,0.1,626,144,0.5,0.1,677,189,0.5,0.1,1874,298,1.4,0.2,8410,596,6.3,0.5,62004,1512,46.3,0.9,57310,1258,42.8,0.8,927400,7229
0500000US06077,6077,"San Joaquin County, California",685306,752660,1582,,,239253,422,239253,422,175178,1262,73.2,0.5,11794,698,4.9,0.3,4905,465,2.1,0.2,9828,699,4.1,0.3,9327,519,3.9,0.2,6913,560,2.9,0.2,12425,684,5.2,0.3,5.4,0.1,223808,1054,3.13,0.03,3.21,0.03,223808,1054,223808,14668,715,6.6,0.3,6251,430,5,0.3,6063,519,4.9,0.4,9956,617,8,0.5,15655,773,12.6,0.6,30413,1135,24.4,0.8,40486,1259,32.5,0.9,13899,814,11.1,0.7,2011,276,1.6,0.2,281100,3375
0500000US06079,6079,"San Luis Obispo County, California",269637,284010,1303,,,120182,380,120182,380,80791,1071,67.2,0.9,6527,530,5.4,0.4,3878,498,3.2,0.4,6190,594,5.2,0.5,5035,609,4.2,0.5,3117,395,2.6,0.3,4180,398,3.5,0.3,5.2,0.1,105044,886,2.48,0.03,2.55,0.05,105044,886,105044,4779,483,4.5,0.5,2199,324,3.5,0.5,1310,247,2.1,0.4,1037,213,1.6,0.3,1237,186,2,0.3,5142,411,8.2,0.6,20622,836,32.7,1.2,26351,886,41.8,1.3,5154,405,8.2,0.6,499800,9363
0500000US06081,6081,"San Mateo County, California",718451,769545,10604,,,275109,326,275109,326,155153,1210,56.4,0.4,22969,925,8.3,0.3,7487,646,2.7,0.2,12367,782,4.5,0.3,19187,817,7,0.3,16353,783,5.9,0.3,38456,975,14,0.4,5.1,0.1,261796,1009,2.92,0.02,2.82,0.04,261796,1009,261796,13902,679,5.3,0.3,2450,276,1.6,0.2,1526,235,1,0.1,1041,181,0.7,0.1,853,158,0.5,0.1,2094,281,1.3,0.2,10681,637,6.8,0.4,71422,1519,45.7,0.8,66333,1167,42.4,0.7,917700,6273
0500000US06083,6083,"Santa Barbara County, California",423895,446527,1949,,,155339,300,155339,300,90313,1066,58.1,0.7,11102,652,7.1,0.4,4820,462,3.1,0.3,9946,616,6.4,0.4,11297,686,7.3,0.4,8814,557,5.7,0.4,11591,662,7.5,0.4,5,0.1,144015,864,2.79,0.03,3.1,0.04,144015,864,144015,8678,650,6,0.5,2765,342,3.7,0.5,1913,275,2.5,0.4,1307,185,1.7,0.2,2456,263,3.3,0.3,10827,762,14.4,1,17955,745,23.8,1,22978,916,30.5,1,15107,631,20.1,0.8,509400,17381
0500000US06085,6085,"Santa Clara County, California",1781642,1937570,33834,,,658409,466,658409,466,348469,1833,52.9,0.3,69412,1358,10.5,0.2,10896,691,1.7,0.1,36232,1138,5.5,0.2,32898,1070,5,0.2,37149,1437,5.6,0.2,103649,1851,15.7,0.3,5.1,0.1,630451,1707,3.05,0.01,2.88,0.02,630451,1707,630451,31923,998,5.1,0.2,7439,600,2.1,0.2,5679,469,1.6,0.1,4378,462,1.2,0.1,3631,348,1,0.1,7354,526,2,0.1,37038,1018,10.3,0.3,166455,1982,46.4,0.4,126890,1666,35.4,0.4,829600,4266
0500000US06087,6087,"Santa Cruz County, California",262382,274255,2041,,,105586,289,105586,289,68031,899,64.4,0.8,8079,511,7.7,0.5,3424,441,3.2,0.4,6500,644,6.2,0.6,4012,549,3.8,0.5,3056,533,2.9,0.5,6124,550,5.8,0.5,4.9,0.1,95536,702,2.68,0.04,2.8,0.05,95536,702,95536,5752,522,6,0.5,1189,200,2.1,0.4,1107,199,1.9,0.3,957,242,1.7,0.4,1105,213,1.9,0.4,2820,395,4.9,0.7,11406,635,20,1,29334,977,51.5,1.6,9074,542,15.9,0.9,659900,9193
0500000US06089,6089,"Shasta County, California",177223,180040,223,,,78211,189,78211,189,55325,762,70.7,0.9,1387,203,1.8,0.3,1839,333,2.4,0.4,4168,405,5.3,0.5,2725,398,3.5,0.5,1165,242,1.5,0.3,2581,324,3.3,0.4,5.3,0.1,70486,734,2.46,0.03,2.55,0.06,70486,734,70486,4845,433,6.9,0.6,3393,291,7.7,0.6,2241,291,5.1,0.6,4176,329,9.5,0.7,7323,553,16.6,1.2,13067,638,29.6,1.3,10458,542,23.7,1.2,2800,282,6.3,0.7,637,163,1.4,0.4,233500,4093
0500000US06091,6091,"Sierra County, California",3240,2987,1,,,2388,59,2388,59,2040,114,85.4,4.7,55,53,2.3,2.2,21,32,0.9,1.4,0,12,0,1.5,0,12,0,1.5,16,24,0.7,1,42,43,1.8,1.8,5,0.3,1208,156,2.19,0.23,3.02,0.79,1208,156,1208,66,45,5.5,3.8,143,78,14.8,7.8,171,66,17.8,6.9,147,70,15.3,6.9,94,48,9.8,4.9,102,51,10.6,5.1,218,84,22.6,8.2,63,48,6.5,4.9,25,24,2.6,2.5,157100,32562
0500000US06093,6093,"Siskiyou County, California",44900,43724,50,,,24055,90,24055,90,18109,319,75.3,1.3,217,84,0.9,0.3,531,126,2.2,0.5,697,152,2.9,0.6,608,140,2.5,0.6,386,137,1.6,0.6,388,105,1.6,0.4,5,0.1,19018,362,2.2,0.06,2.38,0.1,19018,362,19018,1390,230,7.3,1.2,931,147,7.5,1.2,1501,181,12,1.3,2079,194,16.7,1.6,2354,199,18.9,1.5,2767,240,22.2,1.9,1927,242,15.5,1.8,724,142,5.8,1.1,174,82,1.4,0.7,176600,9205
0500000US06095,6095,"Solano County, California",413344,446610,1224,,,155973,196,155973,196,110187,869,70.6,0.6,7080,443,4.5,0.3,3151,415,2,0.3,8625,659,5.5,0.4,9315,740,6,0.5,5600,570,3.6,0.4,7436,538,4.8,0.3,5.6,0.1,147352,738,2.86,0.02,2.92,0.04,147352,738,147352,8049,525,5.5,0.4,3476,339,3.9,0.4,2262,318,2.6,0.4,3529,384,4,0.4,6371,529,7.2,0.6,19260,841,21.8,0.9,37363,938,42.3,0.9,14703,702,16.6,0.8,1417,282,1.6,0.3,342000,3580
0500000US06097,6097,"Sonoma County, California",483878,499942,3584,,,207908,422,207908,422,142398,1118,68.5,0.5,16650,795,8,0.4,4606,566,2.2,0.3,8821,643,4.2,0.3,7166,612,3.4,0.3,5233,624,2.5,0.3,12730,739,6.1,0.4,5.2,0.2,190058,1004,2.57,0.02,2.63,0.03,190058,1004,190058,9242,637,4.9,0.3,5195,462,4.5,0.4,3287,318,2.9,0.3,1697,269,1.5,0.2,1798,273,1.6,0.2,8146,511,7.1,0.4,35372,1157,30.9,0.9,47795,1198,41.7,1,11318,632,9.9,0.5,513300,7447
0500000US06099,6099,"Stanislaus County, California",514453,549815,857,,,180755,183,180755,183,136503,1093,75.5,0.6,6415,518,3.5,0.3,4842,611,2.7,0.3,7492,667,4.1,0.4,5165,553,2.9,0.3,3306,465,1.8,0.3,9141,685,5.1,0.4,5.4,0.2,171324,939,3.07,0.03,3.13,0.04,171324,939,171324,11428,737,6.7,0.4,5631,455,5.8,0.4,4589,502,4.7,0.5,9892,575,10.1,0.5,15304,816,15.6,0.8,30115,1174,30.8,1,24786,971,25.3,1,6053,402,6.2,0.4,1420,207,1.5,0.2,244100,3173
0500000US06101,6101,"Sutter County, California",94737,96807,92,,,34204,96,34204,96,24633,494,72,1.4,1498,278,4.4,0.8,648,201,1.9,0.6,1610,279,4.7,0.8,1005,217,2.9,0.6,1050,224,3.1,0.7,1853,243,5.4,0.7,5.6,0.2,32188,390,2.83,0.06,3.09,0.08,32188,390,32188,2122,279,6.6,0.9,1126,160,6.1,0.8,929,177,5.1,0.9,1920,243,10.5,1.3,3089,301,16.8,1.5,5841,463,31.8,2.4,3772,305,20.5,1.6,1305,187,7.1,1,375,100,2,0.5,234500,5855
0500000US06103,6103,"Tehama County, California",63463,63916,39,,,27359,120,27359,120,18112,574,66.2,2,414,138,1.5,0.5,351,152,1.3,0.6,877,277,3.2,1,978,259,3.6,0.9,341,158,1.2,0.6,397,124,1.5,0.5,5.2,0.1,23712,493,2.57,0.08,2.75,0.13,23712,493,23712,1660,322,7,1.4,1446,262,9.1,1.6,1611,257,10.1,1.6,2097,348,13.2,2.1,3217,407,20.2,2.5,3683,391,23.1,2.4,2831,323,17.8,1.9,794,162,5,1,255,95,1.6,0.6,191400,8748
0500000US06105,6105,"Trinity County, California",13786,12535,11,,,8814,58,8814,58,6342,281,72,3.2,40,41,0.5,0.5,20,18,0.2,0.2,113,84,1.3,0.9,95,77,1.1,0.9,32,27,0.4,0.3,87,59,1,0.7,4.4,0.2,5462,241,2.28,0.14,2.45,0.25,5462,241,5462,298,118,5.5,2.1,257,113,6.8,3,161,78,4.3,2,396,126,10.5,3,310,125,8.2,3.2,875,133,23.3,3.5,1238,216,32.9,5.4,464,133,12.3,3.6,57,21,1.5,0.6,286500,21776
0500000US06107,6107,"Tulare County, California",442179,465861,634,,,146712,206,146712,206,110555,1126,75.4,0.8,3866,461,2.6,0.3,4084,495,2.8,0.3,8342,675,5.7,0.5,4075,449,2.8,0.3,1667,256,1.1,0.2,4027,482,2.7,0.3,5.3,0.1,135144,801,3.27,0.04,3.46,0.05,135144,801,135144,8479,589,6.3,0.4,4311,379,5.7,0.5,8546,664,11.2,0.9,14478,837,19.1,1.1,16237,878,21.4,1.1,17967,832,23.6,1,10177,792,13.4,1,3581,345,4.7,0.5,678,161,0.9,0.2,180200,3248
0500000US06109,6109,"Tuolumne County, California",55365,54539,75,,,31433,147,31433,147,25404,492,80.8,1.5,489,151,1.6,0.5,390,144,1.2,0.5,773,205,2.5,0.7,587,198,1.9,0.6,260,119,0.8,0.4,447,137,1.4,0.4,5.2,0.2,22267,535,2.27,0.07,2.26,0.13,22267,535,22267,1042,203,4.7,0.9,1101,211,7.1,1.3,630,172,4.1,1.1,795,199,5.1,1.2,1678,341,10.9,2.1,4769,418,30.9,2.5,4488,388,29,2.4,1776,282,11.5,1.8,221,112,1.4,0.7,273500,8544
0500000US06111,6111,"Ventura County, California",823318,850967,4015,,,285997,325,285997,325,182055,1291,63.7,0.4,31975,938,11.2,0.3,3711,423,1.3,0.1,12989,724,4.5,0.3,14026,849,4.9,0.3,12584,649,4.4,0.2,17682,835,6.2,0.3,5.6,0.1,270046,1040,3.05,0.02,3.18,0.04,270046,1040,270046,11936,644,4.4,0.2,4520,384,2.6,0.2,3600,369,2.1,0.2,2198,302,1.3,0.2,2386,332,1.4,0.2,12087,685,7.1,0.4,56040,1221,32.8,0.6,76167,1344,44.6,0.7,13680,606,8,0.4,520300,5294
0500000US06113,6113,"Yolo County, California",200849,220408,973,,,76916,254,76916,254,45251,794,58.8,1,5385,482,7,0.6,1312,257,1.7,0.3,4912,522,6.4,0.7,5674,504,7.4,0.7,3914,428,5.1,0.6,7091,454,9.2,0.6,5.2,0.1,72845,576,2.8,0.05,2.82,0.05,72845,576,72845,5657,487,7.8,0.7,1889,271,5,0.7,810,195,2.1,0.5,1253,237,3.3,0.6,2230,301,5.9,0.8,6818,474,18,1.2,13733,604,36.3,1.4,9655,472,25.5,1.3,1421,192,3.8,0.5,370800,6354
0500000US06115,6115,"Yuba County, California",72155,78041,52,,,28225,121,28225,121,19674,542,69.7,1.9,836,199,3,0.7,921,219,3.3,0.8,1151,264,4.1,0.9,1045,249,3.7,0.9,424,150,1.5,0.5,1203,227,4.3,0.8,5.1,0.2,25880,472,2.88,0.07,2.77,0.11,25880,472,25880,1971,334,7.6,1.3,1034,205,6.9,1.3,1519,254,10.1,1.6,1875,340,12.4,2.2,2821,384,18.7,2.5,4269,443,28.3,2.7,2790,356,18.5,2.4,688,172,4.6,1.1,67,41,0.4,0.3,207100,11070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,