Id,Id2,Geography,Pop_2010 _Census,Population_Est_2018,EV_new_reg_2018,NY_CS_2019,Weight_Range_low,Weight_Range_high,Total_housing_units,housing_units_detached,Total_housing_units_1_attached,Total_housing_units_2_attached,Apartments,Total_ housing_ units_Median_rooms,Avg_household_size_unit,Vehicles_available,One_car,Two_cars,Three_m_cars,No_vehicles_available,Value_units_Median_dollars
0500000US36001,36001,Albany_County,304204,307117,335,63,4033,2013,140088,69913,5429,22600,238030,5.6,2.58,125376,47431,44259,16899,16787,214400
0500000US36003,36003,Allegany_County,48946,46430,2,1,5704,590,26324,18976,204,1164,46668,5.9,2.4,18124,6478,6635,3307,1704,73300
0500000US36005,36005,Bronx_County,1385108,1432132,242,13,1526,3381,524488,29667,24969,47903,627027,3.9,3.01,495356,148356,49779,9131,288090,371800
0500000US36007,36007,Broome_County,200600,191659,76,13,7303,161,90727,55072,2000,10197,157996,5.8,2.48,78821,29025,27796,12203,9797,113100
0500000US36009,36009,Cattaraugus_County,80317,76840,7,8,6016,290,41431,27756,1288,2729,73204,5.8,2.45,31723,11239,11812,5114,3558,86500
0500000US36011,36011,Cayuga_County,80026,77145,21,5,5722,1208,36882,25203,719,2573,65377,6.1,2.45,31428,10930,11760,5594,3144,120000
0500000US36013,36013,Chautauqua_County,134905,127939,26,0,5086,1753,67422,45980,1134,7383,121919,5.8,2.44,52983,20712,19096,7403,5772,85800
0500000US36015,36015,Chemung_County,88830,84254,34,7,3161,2415,38761,25935,910,3923,69529,6,2.46,34664,11928,13140,5679,3917,105500
0500000US36017,36017,Chenango_County,50477,47536,12,0,5014,1395,25269,15760,247,1330,42606,5.8,2.41,20373,7309,7662,3835,1567,95900
0500000US36019,36019,Clinton_County,82128,80695,35,10,7085,1449,36352,22196,927,1847,61322,5.6,2.4,31680,10637,11769,6320,2954,129000
0500000US36021,36021,Columbia_County,63096,59916,57,14,6758,1610,33252,24497,638,2003,60390,5.7,2.39,25470,8451,9887,5285,1847,224600
0500000US36023,36023,Cortland_County,49336,47823,12,3,2180,161,20724,12630,279,2178,35811,5.8,2.65,17925,5926,7175,3207,1617,113900
0500000US36025,36025,Delaware_County,47980,44527,14,5,5232,1288,31524,23358,208,1067,56157,5.3,2.31,19098,6675,7116,3502,1805,138000
0500000US36027,36027,Dutchess_County,297488,293718,363,33,2362,2898,120136,77424,6206,7762,211528,5.9,2.73,107384,34630,40294,23798,8662,275200
0500000US36029,36029,Erie_County,919040,919719,501,59,6286,537,425716,249242,11860,79444,766262,5.9,2.46,386371,150712,133456,50366,51837,139900
0500000US36031,36031,Essex_County,39370,37300,31,4,7467,1449,26114,20532,476,996,48118,5.6,2.39,15257,4983,6204,2923,1147,146900
0500000US36033,36033,Franklin_County,51599,50293,14,11,9429,564,25582,18647,235,1091,45555,5.7,2.43,18956,6643,7603,2913,1797,102200
0500000US36035,36035,Fulton_County,55531,53591,10,4,4796,1771,29004,19991,205,3313,52513,5.7,2.35,22535,8218,8391,3812,2114,107600
0500000US36037,36037,Genesee_County,60079,57511,15,4,4905,1771,25712,18533,504,2173,46922,6.2,2.5,23951,8282,9153,4698,1818,111900
0500000US36039,36039,Greene_County,49221,47491,31,6,5450,483,29625,22204,789,1341,53959,5.7,2.65,17106,6113,6361,3325,1307,176100
0500000US36041,36041,Hamilton_County,4836,4434,1,1,9592,161,8885,7858,41,44,16828,5.1,4.12,1095,349,520,173,53,164000
0500000US36043,36043,Herkimer_County,64519,61833,10,5,9265,3220,33726,23430,361,2867,60384,5.8,2.52,25187,9349,9278,4184,2376,95800
0500000US36045,36045,Jefferson_County,116229,111755,23,9,5886,1369,59547,34043,3810,3247,100647,5.4,2.63,43206,15614,17374,6469,3749,149300
0500000US36047,36047,Kings_County,2504700,2582830,883,69,1526,3381,1028383,53660,88807,184397,1355247,4,3.06,944650,319567,84180,16731,524172,623900
0500000US36049,36049,Lewis_County,27087,26447,1,1,8448,644,15519,12200,101,497,28317,5.3,2.67,10236,2981,4482,2275,498,121700
0500000US36051,36051,Livingston_County,65393,63227,25,6,4251,2093,27427,18990,389,1467,48273,6,2.47,24432,7782,9698,5058,1894,125000
0500000US36053,36053,Madison_County,73442,70795,40,7,9483,2254,32137,23332,341,1973,57783,5.9,2.6,26307,8559,11056,5083,1609,132800
0500000US36055,36055,Monroe_County,744344,742474,758,58,4142,2469,325818,206453,18530,22322,573123,5.9,2.54,300496,111704,112239,42106,34447,142300
0500000US36057,36057,Montgomery_County,50219,49455,14,4,4360,2093,23480,13467,789,4651,42387,5.9,2.51,19700,6771,6840,3586,2503,99900
0500000US36059,36059,Nassau_County,1339532,1358343,2759,22,1526,3381,471031,358592,13578,31526,874727,6.6,3.11,444136,125379,183008,102700,33049,460700
0500000US36061,36061,New_York_County,1585873,1628701,1581,335,1526,3381,872645,9217,6573,8723,897158,3.3,2.01,758345,153579,17574,3632,583560,915300
0500000US36063,36063,Niagara_County,216469,210433,83,11,4251,2061,100104,69512,2219,9149,180984,5.9,2.48,87978,32955,32679,13658,8686,114800
0500000US36065,36065,Oneida_County,234878,229577,79,17,7303,1208,104998,64517,1600,14014,185129,5.8,2.51,90472,34994,32496,12847,10135,120000
0500000US36067,36067,Onondaga_County,467026,461809,260,40,4905,2415,206707,129642,8957,17811,363117,6,2.55,185840,69064,68216,25760,22800,139400
0500000US36069,36069,Ontario_County,107931,109864,96,11,4251,1691,50074,33575,2351,2163,88163,6.1,2.52,44269,14481,17620,9023,3145,156500
0500000US36071,36071,Orange_County,372813,381951,269,19,2725,3301,141493,87774,9468,9604,248339,6,3,126460,38161,47591,28071,12637,260300
0500000US36073,36073,Orleans_County,42883,40612,10,0,4360,2093,18528,13535,293,1099,33455,6,2.45,16214,5751,6326,2908,1229,93600
0500000US36075,36075,Oswego_County,122109,117898,28,2,4106,2683,54304,35887,568,3236,93995,5.8,2.58,45881,15397,17659,8829,3996,97800
0500000US36077,36077,Otsego_County,62259,59749,25,8,9374,322,31098,21756,350,1886,55090,5.9,2.4,23627,8185,9028,4484,1930,141900
0500000US36079,36079,Putnam_County,99710,98892,130,3,4578,564,38578,30120,2787,1765,73250,6.2,2.9,34316,8486,14175,9896,1759,357700
0500000US36081,36081,Queens_County,2230722,2278906,1190,54,1417,3703,850422,161420,73433,174667,1259942,4.3,3.17,777904,315685,134441,40738,287040,481300
0500000US36083,36083,Rensselaer_County,159429,159442,131,18,4033,2576,72663,41184,2185,10038,126070,5.7,2.54,64456,22702,23835,11550,6369,183400
0500000US36085,36085,Richmond_County,468730,476179,270,4,1526,3381,179179,61903,45771,41297,328150,5.6,2.98,166150,59123,55956,22706,28365,460200
0500000US36087,36087,Rockland_County,311687,325695,466,14,1526,3381,105530,60221,8744,6707,181202,6.4,3.15,99935,29641,38976,20812,10506,425100
0500000US36089,36089,St._Lawrence_County,111944,108047,20,10,7339,1664,52908,37683,737,2204,93532,5.7,2.49,41638,14783,16149,6632,4074,88000
0500000US36091,36091,Saratoga_County,219607,230163,246,41,4069,2630,103766,65270,4852,6251,180139,6,2.55,93129,29741,40595,18654,4139,243600
0500000US36093,36093,Schenectady_County,154727,155350,176,22,7085,2254,69062,40671,1336,12229,123298,5.6,2.97,53825,19593,20261,8017,5954,164100
0500000US36095,36095,Schoharie_County,32749,31097,13,2,5341,1691,17465,12676,82,729,30952,5.7,2.47,12539,4310,4626,2764,839,143300
0500000US36097,36097,Schuyler_County,18343,17912,13,2,6976,483,9691,6873,35,311,16910,5.8,2.39,7444,2442,2691,1804,507,114700
0500000US36099,36099,Seneca_County,35251,34300,7,6,4360,1610,16293,11460,193,813,28759,6,2.44,13536,4388,5648,2474,1026,98400
0500000US36101,36101,Steuben_County,98990,95796,29,8,6540,1449,49363,33170,712,3139,86384,5.9,2.47,40351,14134,15211,7348,3658,95300
0500000US36103,36103,Suffolk_County,1493350,1481093,2043,105,2017,1191,574342,459741,25738,22161,1081982,6.4,3.09,489328,130546,195871,136946,25965,379400
0500000US36105,36105,Sullivan_County,77547,75498,37,7,5886,644,50232,35607,1210,2694,89743,5.3,2.61,27679,10351,9753,4658,2917,167900
0500000US36107,36107,Tioga_County,51125,48560,18,0,5995,805,22427,15607,144,1396,39574,6.1,2.49,19996,6416,8113,4244,1223,113000
0500000US36109,36109,Tompkins_County,101564,102793,177,26,6159,1127,42727,21781,1510,3553,69571,5.3,2.51,38986,14718,12921,5609,5738,190100
0500000US36111,36111,Ulster_County,182493,178599,271,60,2834,1288,84647,59136,2293,5919,151995,5.6,2.53,69662,23767,27037,13679,5179,221600
0500000US36113,36113,Warren_County,65707,64265,37,21,4905,1932,39559,28357,1007,2966,71889,5.7,2.43,27249,9636,10359,4810,2444,192800
0500000US36115,36115,Washington_County,63216,61197,22,1,4142,2576,29367,21921,430,2008,53726,5.7,2.48,23988,8079,9431,4956,1522,144900
0500000US36117,36117,Wayne_County,93772,90064,40,1,4905,1771,41561,30671,806,2135,75173,6,2.55,36578,12120,14065,7869,2524,118900
0500000US36119,36119,Westchester_County,949113,967612,2710,86,2017,2496,373236,165520,21150,31339,591245,5.3,2.84,345885,122182,118479,55550,49674,513300
0500000US36121,36121,Wyoming_County,42155,40085,2,2,9265,161,18085,13730,278,1133,33226,6.3,2.48,15686,5255,6284,3150,997,108500
0500000US36123,36123,Yates_County,25348,24841,7,3,5341,1932,82,501,264,278,1125,5.9,2.63,568,2846,3493,1761,1934,128900