Geography,NY_CS_2019,Population_Est_2018,EV_2018,EV_total_2025,Weight_Range_low,dx32,Weight_Range_high,dx90,housing_units_detached,Total_housing_units_1_attached,Apartments,One_car,Two_cars,Three_m_cars,Value_units_Median_dollars,Latitude,Longitude,percent EV 2018,16838,304505,New_reg_EV2025
Albany_County,63,307117,335,6058,4033,37,2013,13,69913,5429,238030,47431,44259,16899,214400,42.74722,-73.79912,1.989547452,1.989547452,6058.27147,6058.271469
Allegany_County,1,46430,2,36,5704,52,590,4,18976,204,46668,6478,6635,3307,73300,42.1173,-77.9475,,0.011877895,36.16878,
Bronx_County,13,1432132,242,4376,1526,14,3381,21,29667,24969,627027,148356,49779,9131,371800,40.848711,–73.852939,,1.437225324,4376.42297,
Broome_County,13,191659,76,1374,7303,67,161,1,55072,2000,157996,29025,27796,12203,113100,42.1098,-75.8858,,0.451360019,1374.41383,
Cattaraugus_County,8,76840,7,127,6016,55,290,2,27756,1288,73204,11239,11812,5114,86500,42.3295,-78.4637,,0.041572633,126.59075,
Cayuga_County,5,77145,21,380,5722,52,1208,8,25203,719,65377,10930,11760,5594,120000,42.7864,-76.7034,,0.1247179,379.77224,
Chautauqua_County,0,127939,26,470,5086,47,1753,11,45980,1134,121919,20712,19096,7403,85800,42.49333,-79.27222,,0.154412638,470.1942,
Chemung_County,7,84254,34,615,3161,29,2415,15,25935,910,69529,11928,13140,5679,105500,42.0839,-76.7881,,0.201924219,614.86934,
Chenango_County,0,47536,12,217,5014,46,1395,9,15760,247,42606,7309,7662,3835,95900,42.5833,-75.4333,,0.071267371,217.01271,
Clinton_County,10,80695,35,633,7085,65,1449,9,22196,927,61322,10637,11769,6320,129000,44.6918,-73.4556,,0.207863167,632.95374,
Columbia_County,14,59916,57,1031,6758,62,1610,10,24497,638,60390,8451,9887,5285,224600,42.1331,-73.7854,,0.338520014,1030.81037,
Cortland_County,3,47823,12,217,2180,20,161,1,12630,279,35811,5926,7175,3207,113900,42.4516,-76.0437,,0.071267371,217.01271,
Delaware_County,5,44527,14,253,5232,48,1288,8,23358,208,56157,6675,7116,3502,138000,42.3523,-74.5783,,0.083145267,253.18149,
Dutchess_County,33,293718,363,6565,2362,22,2898,18,77424,6206,211528,34630,40294,23798,275200,41.7857,-73.7422,,2.155837986,6564.63446,
Erie_County,59,919719,501,9060,6286,58,537,3,249242,11860,766262,150712,133456,50366,139900,42.9408,-78.7358,,2.975412757,9060.28062,
Essex_County,4,37300,31,561,7467,69,1449,9,20532,476,48118,4983,6204,2923,146900,44.495,-73.4711,,0.184107376,560.61617,
Franklin_County,11,50293,14,253,9429,87,564,4,18647,235,45555,6643,7603,2913,102200,44.842,-74.3081,,0.083145267,253.18149,
Fulton_County,4,53591,10,181,4796,44,1771,11,19991,205,52513,8218,8391,3812,107600,43.115609,–74.42368,,0.059389476,180.84392,
Genesee_County,4,57511,15,271,4905,45,1771,11,18533,504,46922,8282,9153,4698,111900,42.9985,-78.2057,,0.089084214,271.26589,
Greene_County,6,47491,31,561,5450,50,483,3,22204,789,53959,6113,6361,3325,176100,42.1388,-74.087,,0.184107376,560.61617,
Hamilton_County,1,4434,1,18,9592,88,161,1,7858,41,16828,349,520,173,164000,43.75477,-74.27558,,0.005938948,18.08439,
Herkimer_County,5,61833,10,181,9265,85,3220,20,23430,361,60384,9349,9278,4184,95800,43.1232,-74.7974,,0.059389476,180.84392,
Jefferson_County,9,111755,23,416,5886,54,1369,9,34043,3810,100647,15614,17374,6469,149300,43.98867,-76.02623,,0.136595795,415.94103,
Kings_County,69,2582830,883,15969,1526,14,3381,21,53660,88807,1355247,319567,84180,16731,623900,40.7145,-73.8819,,5.244090747,15968.51853,
Lewis_County,1,26447,1,18,8448,78,644,4,12200,101,28317,2981,4482,2275,121700,43.8524,-75.7158,,0.005938948,18.08439,
Livingston_County,6,63227,25,452,4251,39,2093,13,18990,389,48273,7782,9698,5058,125000,43.1521,-78.6534,,0.14847369,452.10981,
Madison_County,7,70795,40,723,9483,87,2254,14,23332,341,57783,8559,11056,5083,132800,43.0801,-75.6686,,0.237557905,723.3757,
Monroe_County,58,742474,758,13708,4142,38,2469,15,206453,18530,573123,111704,112239,42106,142300,43.1167,-77.6767,,4.501722295,13707.96947,
Montgomery_County,4,49455,14,253,4360,40,2093,13,13467,789,42387,6771,6840,3586,99900,42.9643,-74.4756,,0.083145267,253.18149,
Nassau_County,22,1358343,2759,49895,1526,14,3381,21,358592,13578,874727,125379,183008,102700,460700,40.6981,-73.4499,,16.38555648,49894.83876,
New_York_County,335,1628701,1581,28591,1526,14,3381,21,9217,6573,897158,153579,17574,3632,915300,40.77898,-73.96925,,9.389476185,28591.42446,
Niagara_County,11,210433,83,1501,4251,39,2061,13,69512,2219,180984,32955,32679,13658,114800,43.10833,-78.93806,,0.492932652,1501.00457,
Oneida_County,17,229577,79,1429,7303,67,1208,8,64517,1600,185129,34994,32496,12847,120000,43.2761,-75.1566,,0.469176862,1428.667,
Onondaga_County,40,461809,260,4702,4905,45,2415,15,129642,8957,363117,69064,68216,25760,139400,43.1111,-76.1038,,1.544126381,4701.94204,
Ontario_County,11,109864,96,1736,4251,39,1691,11,33575,2351,88163,14481,17620,9023,156500,42.84505,-77.28071,,0.570138971,1736.10167,
Orange_County,19,381951,269,4865,2725,25,3301,21,87774,9468,248339,38161,47591,28071,260300,41.3906,-73.9608,,1.597576909,4864.70157,
Orleans_County,0,40612,10,181,4360,40,2093,13,13535,293,33455,5751,6326,2908,93600,43.2093,-78.3894,,0.059389476,180.84392,
Oswego_County,2,117898,28,506,4106,38,2683,17,35887,568,93995,15397,17659,8829,97800,43.3165,-76.4185,,0.166290533,506.36299,
Otsego_County,8,59749,25,452,9374,86,322,2,21756,350,55090,8185,9028,4484,141900,42.7166,-74.9266,,0.14847369,452.10981,
Putnam_County,3,98892,130,2351,4578,42,564,4,30120,2787,73250,8486,14175,9896,357700,41.4725,-73.655,,0.77206319,2350.97102,
Queens_County,54,2278906,1190,21520,1417,13,3703,23,161420,73433,1259942,315685,134441,40738,481300,40.7792,-73.88,,7.067347666,21520.42701,
Rensselaer_County,18,159442,131,2369,4033,37,2576,16,41184,2185,126070,22702,23835,11550,183400,42.9361,-73.43257,,0.778002138,2369.05541,
Richmond_County,4,476179,270,4883,1526,14,3381,21,61903,45771,328150,59123,55956,22706,460200,40.563855,–74.137063,,1.603515857,4882.78596,
Rockland_County,14,325695,466,8427,1526,14,3381,21,60221,8744,181202,29641,38976,20812,425100,41.0835,-73.993,,2.76754959,8427.32688,
St._Lawrence_County,10,108047,20,362,7339,67,1664,10,37683,737,93532,14783,16149,6632,88000,44.7281,-75.4442,,0.118778952,361.68785,
Saratoga_County,41,230163,246,4449,4069,37,2630,16,65270,4852,180139,29741,40595,18654,243600,43.04121,-73.82109,,1.460981114,4448.76054,
Schenectady_County,22,155350,176,3183,7085,65,2254,14,40671,1336,123298,19593,20261,8017,164100,42.817542,–74.043583,,1.045254781,3182.85307,
Schoharie_County,2,31097,13,235,5341,49,1691,11,12676,82,30952,4310,4626,2764,143300,42.4486,-74.4653,,0.077206319,235.0971,
Schuyler_County,2,17912,13,235,6976,64,483,3,6873,35,16910,2442,2691,1804,114700,42.4422,-76.7586,,0.077206319,235.0971,
Seneca_County,6,34300,7,127,4360,40,1610,10,11460,193,28759,4388,5648,2474,98400,42.782294,–76.827088,,0.041572633,126.59075,
Steuben_County,8,95796,29,524,6540,60,1449,9,33170,712,86384,14134,15211,7348,95300,42.1341,-77.0691,,0.172229481,524.44738,
Suffolk_County,105,1481093,2043,36946,2017,19,1191,7,459741,25738,1081982,130546,195871,136946,379400,40.6772,-73.4103,,12.13326998,36946.41377,
Sullivan_County,7,75498,37,669,5886,54,644,4,35607,1210,89743,10351,9753,4658,167900,41.5739,-74.4871,,0.219741062,669.12252,
Tioga_County,0,48560,18,326,5995,55,805,5,15607,144,39574,6416,8113,4244,113000,42.3191,-76.2194,,0.106901057,325.51906,
Tompkins_County,26,102793,177,3201,6159,57,1127,7,21781,1510,69571,14718,12921,5609,190100,42.4401,-76.2462,,1.051193728,3200.93746,
Ulster_County,60,178599,271,4901,2834,26,1288,8,59136,2293,151995,23767,27037,13679,221600,41.8677,-73.988,,1.609454805,4900.87035,
Warren_County,21,64265,37,669,4905,45,1932,12,28357,1007,71889,9636,10359,4810,192800,43.3588,-73.6285,,0.219741062,669.12252,
Washington_County,1,61197,22,398,4142,38,2576,16,21921,430,53726,8079,9431,4956,144900,43.312377,–73.439428,,0.130656848,397.85663,
Wayne_County,1,90064,40,723,4905,45,1771,11,30671,806,75173,12120,14065,7869,118900,43.0795,-77.2526,,0.237557905,723.3757,
Westchester_County,86,967612,2710,49009,2017,19,2496,16,165520,21150,591245,122182,118479,55550,513300,41.06694,-73.7075,,16.09454805,49008.70353,
Wyoming_County,2,40085,2,36,9265,85,161,1,13730,278,33226,5255,6284,3150,108500,42.7058,-78.0937,,0.011877895,36.16878,
Yates_County,3,24841,7,127,5341,49,1932,12,501,264,1125,2846,3493,1761,128900,42.6425,-77.05639,,0.041572633,126.59075,