Geography,Actual,Ridge,OLS 
Broome_County,13,25,33
Cattaraugus_County,8,12,22
Jefferson_County,9,10,19
Onondaga_County,40,26,6
Ontario_County,11,16,15
Otsego_County,8,20,38
Putnam_County,3,67,78
Schuyler_County,2,10,27
Ulster_County,60,31,38
Alameda_County,311,295,415
El_Dorado_County,34,34,32
Humboldt_County,36,14,16
Imperial_County,4,19,22
Madera_County,17,14,12
Nevada_County,25,16,8
San_Luis_County,114,45,35
Santa_Clara_County,507,426,721
Sierra_County,1,1,6
Solano_County,91,63,44
Tuolumne_County,7,13,19
Ventura_County,85,116,107